paper_id,title,authors,year,venue,doi_or_url,public_code_url,license,reproducibility_status,dataset_used,dataset_license,thesis_chapters,third_party_path,paper_card_path,notes,date_added
attack_wifi_sensing,Adversarial Attack on Deep Learning-Based WiFi Sensing,Li et al.,2023,IEEE TIFS,Pending verification,https://github.com/xdawnn/attack-wifi-sensing,MIT,Pending verification,Synthetic CSI,Pending verification,Chapter 4 attacks; Chapter 6 defenses,third_party/wifi_sensing_security/attack_wifi_sensing/,literature/paper_cards/with_public_code/attack_wifi_sensing.md,Primary adversarial attack reference for thesis,2026-05-24
sensefi,SenseFi: A Library and Benchmark on Deep Learning-Enhanced WiFi Human Sensing,Yang et al.,2023,Patterns (Cell Press),https://doi.org/10.1016/j.patter.2023.100764,https://github.com/xyanchen/WiFi-CSI-Sensing-Benchmark,MIT,Pending verification,Multiple public CSI datasets,Pending verification,Chapter 3 baseline models; Chapter 7 generalization,third_party/wifi_sensing/sensefi/,literature/paper_cards/with_public_code/sensefi.md,Key benchmark library; multi-dataset evaluation,2026-05-24
antieave_wifi_sensing,AntiEave: Defending Against Eavesdropping WiFi Sensing Attacks,Liu et al.,2023,IEEE INFOCOM,Pending verification,N/A - not confirmed,Pending verification,Pending verification,Real CSI (lab),Pending verification,Chapter 5 defenses; Chapter 6 defense references,N/A,literature/paper_cards/with_public_code/antieave_wifi_sensing.md,Anti-eavesdropping defense reference; no confirmed public code,2026-05-24
wifi_adg,WiFi-ADG: Adversarial Defense Generation for WiFi Sensing,Zhang et al.,2022,IEEE GLOBECOM,Pending verification,N/A - not confirmed,Pending verification,Pending verification,Synthetic/lab CSI,Pending verification,Chapter 5 defenses; Chapter 6 defense references,N/A,literature/paper_cards/with_public_code/wifi_adg.md,Adversarial CSI generation for defense; no confirmed public code,2026-05-24
csigan,CSI-GAN: Generative Adversarial Network for CSI Augmentation,Wang et al.,2022,IEEE Access,Pending verification,N/A - not confirmed,Pending verification,Pending verification,Synthetic CSI,Pending verification,Chapter 6 augmentation; future robustness,N/A,literature/paper_cards/with_public_code/csigan.md,GAN-based CSI augmentation; no confirmed public code,2026-05-24
csi_bench,CSI-Bench: A Benchmark for WiFi CSI-Based Sensing,Chen et al.,2024,arXiv,Pending verification,N/A,Pending verification,No confirmed public code,Multiple CSI datasets,Pending verification,Chapter 7 generalization,datasets/future_datasets/,literature/paper_cards/datasets_and_benchmarks/csi_bench.md,High-priority future dataset candidate; no confirmed code,2026-05-24
noisec,NoiSec: Exploiting Noise for Adversarial Attacks and Defenses in WiFi Sensing,Pham et al.,2023,ACM CCS,Pending verification,N/A,Pending verification,No confirmed public code,Lab CSI,Pending verification,Chapter 5 defenses; Chapter 6 noise-based defenses,N/A,literature/paper_cards/defense_methods/noisec.md,Noise-based adversarial defense; WiFi CSI applicability pending,2026-05-24
infocom_2023_wifi_ap,Exposing Wireless Eavesdropping Risks from WiFi APs,Tan et al.,2023,IEEE INFOCOM,Pending verification,N/A,N/A,Not reproducible from public artifacts,Lab CSI,Pending verification,Chapter 4 attacks; Chapter 5 clinical safety,N/A,literature/paper_cards/no_confirmed_code/infocom_2023_wifi_ap.md,Physical-layer privacy risk reference,2026-05-24
infocom_2023_wifi_apnea_attack,Adversarial Attack on WiFi-Based Apnea Detection,Pending verification,2023,IEEE INFOCOM,Pending verification,N/A,N/A,Not reproducible from public artifacts,Lab CSI,Pending verification,Chapter 4 attacks; Chapter 5 clinical safety,N/A,literature/paper_cards/no_confirmed_code/infocom_2023_wifi_apnea_attack.md,Adversarial attack on clinical apnea detection; metadata pending,2026-05-24
wicam_wicam2,WiCam: Recognizing People Behind Walls Using WiFi,Ma et al.,2021,ACM MobiSys,Pending verification,N/A,N/A,Not reproducible from public artifacts,Lab CSI,Pending verification,Chapter 1 motivation; Chapter 4 physical-layer attack model,N/A,literature/paper_cards/no_confirmed_code/wicam_wicam2.md,Privacy threat model reference for WiFi sensing,2026-05-24
wiintruder,WiIntruder: Detecting Intrusions in WiFi-Based Vital Sensing,Kim et al.,2022,IEEE SECON,Pending verification,N/A,N/A,Not reproducible from public artifacts,Lab CSI,Pending verification,Chapter 5 clinical safety; Chapter 6 hardening,N/A,literature/paper_cards/no_confirmed_code/wiintruder.md,Intrusion detection in WiFi vital-sign sensing; medium priority watch,2026-05-24
awesome_ris_security,Awesome RIS Security,Community,2024,GitHub Repository,Pending verification,Pending verification,Pending verification,N/A,N/A,N/A,Chapter 2 background; Chapter 7 generalization,N/A,N/A,Systematic robustness evaluation framework; links pending verification,2026-05-24
unilateral_csi_entropy,Unilateral CSI Entropy Estimation for WiFi Sensing,Guo et al.,2023,IEEE WCNC,Pending verification,N/A,Pending verification,Pending verification,Synthetic/lab CSI,Pending verification,Chapter 2 background; Chapter 3 evaluation; Chapter 7 generalization,N/A,N/A,Systematic robustness evaluation framework; possible code-release watch item,2026-05-24
